age,education-num,hours-per-week,marital-status,occupation
Young,Edu_Low,FullTime,Mar_Never-married,Occ_Machine-op-inspct
Middle,Edu_Medium,Overtime,Mar_Married-civ-spouse,Occ_Farming-fishing
Young,Edu_High,FullTime,Mar_Married-civ-spouse,Occ_Protective-serv
Middle,Edu_Medium,FullTime,Mar_Married-civ-spouse,Occ_Machine-op-inspct
Middle,Edu_Low,PartTime,Mar_Never-married,Occ_Other-service
Senior,Edu_VeryHigh,PartTime,Mar_Married-civ-spouse,Occ_Prof-specialty
Young,Edu_Medium,FullTime,Mar_Never-married,Occ_Other-service
Senior,Edu_Low,PartTime,Mar_Married-civ-spouse,Occ_Craft-repair
Senior,Edu_Medium,FullTime,Mar_Married-civ-spouse,Occ_Machine-op-inspct
Middle,Edu_High,FullTime,Mar_Married-civ-spouse,Occ_Adm-clerical
Young,Edu_Medium,FullTime,Mar_Never-married,Occ_Adm-clerical
Middle,Edu_Medium,Overtime,Mar_Married-civ-spouse,Occ_Machine-op-inspct
Middle,Edu_VeryHigh,Overtime,Mar_Married-civ-spouse,Occ_Exec-managerial
Young,Edu_Medium,PartTime,Mar_Never-married,Occ_Other-service
Middle,Edu_Medium,PartTime,Mar_Married-civ-spouse,Occ_Adm-clerical
Middle,Edu_Medium,PartTime,Mar_Widowed,Occ_Machine-op-inspct
Middle,Edu_VeryHigh,FullTime,Mar_Married-civ-spouse,Occ_Prof-specialty
Middle,Edu_High,Overtime,Mar_Married-civ-spouse,Occ_Tech-support
Middle,Edu_Medium,PartTime,Mar_Never-married,Occ_Other-service
Young,Edu_High,FullTime,Mar_Never-married,Occ_Prof-specialty
Young,Edu_High,FullTime,Mar_Married-civ-spouse,Occ_Prof-specialty
Middle,Edu_Medium,Overtime,Mar_Married-civ-spouse,Occ_Craft-repair
Young,Edu_Medium,PartTime,Mar_Never-married,Occ_Adm-clerical
Young,Edu_Medium,Overtime,Mar_Separated,Occ_Machine-op-inspct
Senior,Edu_Medium,PartTime,Mar_Married-civ-spouse,Occ_Craft-repair
Middle,Edu_Medium,Overtime,Mar_Never-married,Occ_Prof-specialty
Middle,Edu_Medium,FullTime,Mar_Married-civ-spouse,Occ_Exec-managerial
Senior,Edu_Low,Overtime,Mar_Widowed,Occ_Other-service
Young,Edu_High,Overtime,Mar_Never-married,Occ_Sales
Young,Edu_Medium,FullTime,Mar_Married-civ-spouse,Occ_Protective-serv
