age,education-num,hours-per-week,marital-status,occupation
25,7,40,4,6
38,9,50,2,4
28,12,40,2,10
44,10,40,2,6
34,6,30,4,7
63,15,32,2,9
24,10,40,4,7
55,4,10,2,2
65,9,40,2,6
36,13,40,2,0
26,9,39,4,0
48,9,48,2,6
43,14,50,2,3
20,10,25,4,7
43,9,30,2,0
37,9,20,6,6
40,16,45,2,9
34,13,47,2,12
34,10,35,4,7
25,13,43,4,9
25,13,40,2,9
45,9,90,2,2
22,9,20,4,0
23,9,54,5,6
54,9,35,2,2
32,10,60,4,9
46,10,38,2,3
56,7,50,6,7
24,13,50,4,11
23,10,40,2,10
26,9,40,0,3
36,13,40,2,9
22,3,50,4,8
17,6,40,4,6
20,9,40,4,2
65,14,50,2,9
44,11,45,2,11
36,9,40,2,4
29,7,40,2,7
20,10,32,4,4
28,11,36,2,9
39,4,40,2,2
54,10,50,2,13
52,7,18,5,8
56,9,50,6,3
18,10,20,4,7
39,9,40,0,5
21,10,24,4,7
22,9,60,4,7
38,5,54,3,3
21,10,40,4,0
63,9,40,2,2
34,13,50,2,3
42,9,50,2,3
33,9,40,2,5
30,13,50,4,3
39,10,40,0,11
26,14,40,4,3
33,9,40,4,6
47,9,40,0,0
41,13,40,4,7
41,12,60,2,2
19,10,20,4,7
46,9,40,5,13
43,9,48,2,11
55,10,45,2,3
46,11,40,2,12
30,9,40,2,6
21,10,40,5,5
46,10,40,2,2
41,9,50,2,6
69,9,30,2,11
50,9,40,2,13
20,10,40,4,0
45,10,50,2,6
23,13,40,4,3
24,10,40,5,7
44,9,50,2,2
31,10,50,2,2
43,9,44,5,6
20,7,10,4,7
55,9,56,2,11
24,10,40,4,1
59,13,25,4,3
49,4,20,4,7
33,14,10,2,9
59,13,40,0,0
34,14,40,4,7
20,9,40,4,5
25,13,40,4,3
49,6,40,2,4
59,9,40,2,13
20,9,40,4,0
33,10,35,4,0
22,10,39,4,13
58,5,40,6,7
52,9,28,6,0
36,6,40,5,6
41,9,40,2,10
28,9,40,4,13
19,10,16,4,5
18,9,28,4,7
18,9,48,4,6
28,10,40,2,2
29,11,40,2,3
40,10,40,2,5
26,9,40,4,5
46,9,40,2,2
23,7,24,4,7
44,9,40,3,0
43,13,40,0,11
31,13,60,0,9
18,10,25,4,11
19,10,30,4,10
41,10,40,0,12
41,9,40,0,5
69,9,25,0,0
48,16,40,2,9
28,9,40,4,9
27,9,60,2,2
41,14,50,2,9
41,10,40,2,0
24,9,40,4,2
42,16,41,2,9
57,9,48,2,2
30,12,40,4,9
36,9,60,2,11
49,4,40,2,6
33,9,35,2,6
23,6,40,2,4
46,14,40,2,9
18,10,22,4,0
